,rating
10557,2
13369,1
15864,1
46834,2
53616,3
64913,2
78415,1
78846,1
84094,4
84996,2
89375,2
134779,2
137787,2
151583,3
175623,3
176206,2
181717,1
182949,4
212899,3
237895,2
249861,3
266071,3
268151,3
295874,1
303128,3
310089,3
314511,3
329946,1
333427,1
344088,1
374438,4
382788,2
403630,3
417268,3
435492,3
450282,3
461580,2
465259,1
476624,1
482480,2
492298,4
507167,2
515630,4
515955,4
542518,1
550872,2
553673,2
563756,4
569538,1
571036,1
589996,2
601876,2
604409,2
622553,3
637451,4
659563,2
661906,2
667910,2
691076,3
694145,1
697972,2
739003,2
739604,1
740562,3
745418,3
756685,2
761016,1
762168,1
766523,3
767270,2
769818,3
787928,2
789669,3
806891,1
816901,3
818721,2
823897,3
843138,1
843261,1
847310,1
851717,1
861879,1
869373,3
878654,2
881195,4
883885,3
898023,4
